Time,Loss,Accuracy,valLoss,valAccuracy
172,2.4055,0.0882,2.303,0.1
1,2.3061,0.0765,2.3028,0.1
1,2.305,0.0471,2.3027,0.1
1,2.3037,0.0765,2.3026,0.1
1,2.3036,0.0647,2.3026,0.1
1,2.3034,0.0706,2.3026,0.1
1,2.3032,0.0765,2.3026,0.1
1,2.3037,0.0471,2.3026,0.1
1,2.3032,0.0647,2.3026,0.1
1,2.3032,0.0588,2.3026,0.1
1,2.3033,0.0529,2.3026,0.1
1,2.3029,0.1,2.3026,0.1
1,2.3031,0.0882,2.3026,0.1
1,2.303,0.0824,2.3026,0.1
1,2.3029,0.0882,2.3026,0.1
1,2.303,0.0706,2.3026,0.1
1,2.3029,0.0882,2.3026,0.1
1,2.3029,0.1,2.3026,0.1
1,2.303,0.0824,2.3026,0.1
1,2.303,0.0529,2.3026,0.1
1,2.3029,0.0882,2.3026,0.1
1,2.3028,0.0706,2.3026,0.1
1,2.3029,0.0882,2.3026,0.1
1,2.3028,0.0765,2.3026,0.1
1,2.3027,0.1,2.3026,0.1
1,2.3028,0.0647,2.3026,0.1
1,2.3028,0.0706,2.3026,0.1
1,2.303,0.0588,2.3026,0.1
1,2.3029,0.0882,2.3026,0.1
1,2.3028,0.1,2.3026,0.1
1,2.3028,0.1,2.3026,0.1
1,2.3028,0.0765,2.3026,0.1
1,2.3028,0.0765,2.3026,0.1
1,2.3028,0.0647,2.3026,0.1
1,2.3028,0.0706,2.3026,0.1
1,2.3028,0.0882,2.3026,0.1
1,2.3028,0.0941,2.3026,0.1
1,2.3028,0.0471,2.3026,0.1
1,2.3027,0.0941,2.3026,0.1
1,2.3028,0.1,2.3026,0.1
1,2.3028,0.0529,2.3026,0.1
1,2.3029,0.0824,2.3026,0.1
1,2.3028,0.0824,2.3026,0.1
1,2.3028,0.1,2.3026,0.1
1,2.3027,0.0706,2.3026,0.1
1,2.3028,0.0706,2.3026,0.1
1,2.3028,0.0647,2.3026,0.1
1,2.3028,0.0706,2.3026,0.1
1,2.3028,0.0882,2.3026,0.1
1,2.3028,0.0588,2.3026,0.1
1,2.3028,0.1,2.3026,0.1
1,2.3027,0.0882,2.3026,0.1
1,2.3028,0.0588,2.3026,0.1
1,2.3028,0.0765,2.3026,0.1
1,2.3028,0.0824,2.3026,0.1
1,2.3028,0.0706,2.3026,0.1
1,2.3028,0.0588,2.3026,0.1
1,2.3028,0.0824,2.3026,0.1
1,2.3028,0.0765,2.3026,0.1
1,2.3027,0.0647,2.3026,0.1
1,2.3028,0.0765,2.3026,0.1
1,2.3028,0.0471,2.3026,0.1
1,2.3028,0.0529,2.3026,0.1
1,2.3029,0.0529,2.3026,0.1
1,2.3028,0.0706,2.3026,0.1
1,2.3028,0.0471,2.3026,0.1
1,2.3027,0.0706,2.3026,0.1
1,2.3028,0.0529,2.3026,0.1
1,2.3028,0.0412,2.3026,0.1
1,2.3027,0.0765,2.3026,0.1
1,2.3027,0.0706,2.3026,0.1
1,2.3027,0.0824,2.3026,0.1
1,2.3028,0.0647,2.3026,0.1
1,2.3028,0.0647,2.3026,0.1
1,2.3028,0.0765,2.3026,0.1
1,2.3027,0.0588,2.3026,0.1
1,2.3027,0.0824,2.3026,0.1
1,2.3028,0.0706,2.3026,0.1
1,2.3028,0.0882,2.3026,0.1
1,2.3028,0.0941,2.3026,0.1
1,2.3028,0.1,2.3026,0.1
1,2.3028,0.1,2.3026,0.1
1,2.3028,0.0529,2.3026,0.1
1,2.3027,0.0882,2.3026,0.1
1,2.3028,0.1,2.3026,0.1
1,2.3028,0.0588,2.3026,0.1
1,2.3028,0.0765,2.3026,0.1
1,2.3028,0.0647,2.3026,0.1
1,2.3028,0.0529,2.3026,0.1
1,2.3029,0.0824,2.3026,0.1
1,2.3027,0.1,2.3026,0.1
1,2.3028,0.0529,2.3026,0.1
1,2.3028,0.0706,2.3026,0.1
1,2.3028,0.0824,2.3026,0.1
1,2.3027,0.0588,2.3026,0.1
1,2.3027,0.0353,2.3026,0.1
1,2.3027,0.0824,2.3026,0.1
1,2.3028,0.0471,2.3026,0.1
1,2.3027,0.0941,2.3026,0.1
1,2.3028,0.0529,2.3026,0.1
