Time,Loss,Accuracy,valLoss,valAccuracy
6,3.2866,0.1235,2.3028,0.1
5,2.3065,0.0882,2.3029,0.1
4,2.304,0.0765,2.3028,0.1
4,2.3046,0.0882,2.3026,0.1
4,2.3037,0.0647,2.3026,0.1
4,2.3033,0.1,2.3026,0.1
4,2.3035,0.0647,2.3026,0.1
4,2.3034,0.0706,2.3026,0.1
4,2.3034,0.1,2.3026,0.1
4,2.3032,0.0706,2.3026,0.1
4,2.3033,0.0471,2.3026,0.1
4,2.3031,0.0353,2.3026,0.1
4,2.3033,0.0706,2.3026,0.1
4,2.3029,0.0824,2.3026,0.1
4,2.303,0.0588,2.3026,0.1
4,2.3029,0.0647,2.3026,0.1
4,2.3029,0.0824,2.3026,0.1
4,2.303,0.0529,2.3026,0.1
4,2.3031,0.0824,2.3026,0.1
4,2.3031,0.0824,2.3026,0.1
4,2.3033,0.0529,2.3026,0.1
4,2.3031,0.0765,2.3026,0.1
4,2.3029,0.0941,2.3026,0.1
4,2.3029,0.0412,2.3026,0.1
4,2.3029,0.1,2.3026,0.1
4,2.303,0.0647,2.3026,0.1
4,2.3028,0.0765,2.3026,0.1
4,2.3028,0.0706,2.3026,0.1
4,2.3028,0.0882,2.3026,0.1
4,2.303,0.0824,2.3026,0.1
4,2.3027,0.0765,2.3026,0.1
4,2.3028,0.0529,2.3026,0.1
4,2.3028,0.0647,2.3026,0.1
4,2.3028,0.0412,2.3026,0.1
4,2.3027,0.0882,2.3026,0.1
4,2.3029,0.0824,2.3026,0.1
4,2.3029,0.0706,2.3026,0.1
4,2.3029,0.0412,2.3026,0.1
4,2.3028,0.0824,2.3026,0.1
4,2.3028,0.0765,2.3026,0.1
4,2.3028,0.0706,2.3026,0.1
4,2.3027,0.0941,2.3026,0.1
4,2.3028,0.0235,2.3026,0.1
4,2.3028,0.0706,2.3026,0.1
4,2.3028,0.0882,2.3026,0.1
4,2.3028,0.0588,2.3026,0.1
4,2.3027,0.0882,2.3026,0.1
4,2.3028,0.0647,2.3026,0.1
4,2.3027,0.0882,2.3026,0.1
4,2.3028,0.0647,2.3026,0.1
4,2.3028,0.0529,2.3026,0.1
4,2.3027,0.0765,2.3026,0.1
4,2.3028,0.0706,2.3026,0.1
4,2.3029,0.0647,2.3026,0.1
4,2.3028,0.0529,2.3026,0.1
4,2.3028,0.0941,2.3026,0.1
4,2.3027,0.1,2.3026,0.1
4,2.3028,0.0706,2.3026,0.1
4,2.3029,0.0647,2.3026,0.1
4,2.3028,0.0647,2.3026,0.1
4,2.3029,0.0647,2.3026,0.1
4,2.3028,0.0765,2.3026,0.1
4,2.3028,0.0824,2.3026,0.1
4,2.3027,0.0588,2.3026,0.1
4,2.3028,0.0353,2.3026,0.1
4,2.3028,0.0824,2.3026,0.1
4,2.3029,0.0471,2.3026,0.1
4,2.3028,0.0765,2.3026,0.1
4,2.3028,0.0529,2.3026,0.1
4,2.3027,0.0941,2.3026,0.1
4,2.3028,0.0588,2.3026,0.1
4,2.3027,0.1,2.3026,0.1
4,2.3027,0.0706,2.3026,0.1
4,2.3029,0.1,2.3026,0.1
4,2.3028,0.0588,2.3026,0.1
4,2.3028,0.0647,2.3026,0.1
4,2.3028,0.0824,2.3026,0.1
4,2.3028,0.0706,2.3026,0.1
4,2.3027,0.0765,2.3026,0.1
4,2.3028,0.0765,2.3026,0.1
4,2.3028,0.0588,2.3026,0.1
4,2.3027,0.0882,2.3026,0.1
4,2.3028,0.0471,2.3026,0.1
4,2.3028,0.0588,2.3026,0.1
4,2.3027,0.0941,2.3026,0.1
4,2.3027,0.0588,2.3026,0.1
4,2.3029,0.0588,2.3026,0.1
4,2.3027,0.0765,2.3026,0.1
4,2.3029,0.0471,2.3026,0.1
4,2.3028,0.0294,2.3026,0.1
4,2.3027,0.0588,2.3026,0.1
4,2.3028,0.0647,2.3026,0.1
4,2.3027,0.0706,2.3026,0.1
4,2.3028,0.0941,2.3026,0.1
4,2.3028,0.0706,2.3026,0.1
4,2.3029,0.0647,2.3026,0.1
4,2.3029,0.0588,2.3026,0.1
4,2.3028,0.1,2.3026,0.1
4,2.3028,0.0941,2.3026,0.1
4,2.3028,0.0706,2.3026,0.1
