Time,Loss,Accuracy,valLoss,valAccuracy
68,2.3141,0.0824,2.3026,0.1
22,2.3056,0.0765,2.3026,0.1
21,2.3041,0.0412,2.3026,0.1
21,2.3038,0.0882,2.3026,0.1
21,2.3034,0.0588,2.3026,0.1
21,2.3031,0.0824,2.3026,0.1
22,2.3032,0.0647,2.3026,0.1
21,2.3031,0.0529,2.3026,0.1
21,2.3031,0.0529,2.3026,0.1
21,2.303,0.0824,2.3026,0.1
21,2.3029,0.0706,2.3026,0.1
21,2.3029,0.0471,2.3026,0.1
21,2.3029,0.0706,2.3026,0.1
21,2.303,0.1,2.3026,0.1
21,2.3029,0.0882,2.3026,0.1
22,2.3028,0.0882,2.3026,0.1
21,2.3029,0.0765,2.3026,0.1
21,2.3029,0.0765,2.3026,0.1
21,2.3029,0.0824,2.3026,0.1
20,2.3029,0.0529,2.3026,0.1
22,2.3029,0.0471,2.3026,0.1
21,2.3028,0.0588,2.3026,0.1
21,2.3027,0.0706,2.3026,0.1
20,2.3028,0.0706,2.3026,0.1
21,2.3028,0.0765,2.3026,0.1
20,2.3029,0.0588,2.3026,0.1
21,2.3028,0.0529,2.3026,0.1
21,2.3028,0.0706,2.3026,0.1
21,2.3029,0.0706,2.3026,0.1
21,2.3029,0.0941,2.3026,0.1
21,2.3029,0.0765,2.3026,0.1
21,2.3028,0.0941,2.3026,0.1
21,2.3028,0.0647,2.3026,0.1
21,2.3028,0.0882,2.3026,0.1
21,2.3028,0.0706,2.3026,0.1
21,2.3027,0.1,2.3026,0.1
21,2.3028,0.1,2.3026,0.1
21,2.3027,0.0706,2.3026,0.1
21,2.3027,0.1,2.3026,0.1
21,2.3028,0.0824,2.3026,0.1
21,2.3027,0.0588,2.3026,0.1
21,2.3028,0.0824,2.3026,0.1
22,2.3028,0.1,2.3026,0.1
21,2.3029,0.0765,2.3026,0.1
21,2.3028,0.0647,2.3026,0.1
21,2.3028,0.1,2.3026,0.1
22,2.3027,0.0765,2.3026,0.1
21,2.3028,0.0294,2.3026,0.1
21,2.3028,0.1,2.3026,0.1
21,2.3028,0.0529,2.3026,0.1
22,2.3027,0.0824,2.3026,0.1
21,2.3028,0.0529,2.3026,0.1
21,2.3028,0.0882,2.3026,0.1
21,2.3028,0.0882,2.3026,0.1
21,2.3028,0.0588,2.3026,0.1
21,2.3028,0.0588,2.3026,0.1
21,2.3027,0.0647,2.3026,0.1
21,2.3028,0.0765,2.3026,0.1
21,2.3028,0.0824,2.3026,0.1
21,2.3028,0.0706,2.3026,0.1
22,2.3027,0.0941,2.3026,0.1
21,2.3028,0.0706,2.3026,0.1
21,2.3028,0.0765,2.3026,0.1
21,2.3028,0.0647,2.3026,0.1
21,2.3028,0.0765,2.3026,0.1
21,2.3028,0.0647,2.3026,0.1
21,2.3027,0.0765,2.3026,0.1
21,2.3028,0.0824,2.3026,0.1
21,2.3027,0.0765,2.3026,0.1
21,2.3028,0.0647,2.3026,0.1
21,2.3028,0.0647,2.3026,0.1
21,2.3028,0.0765,2.3026,0.1
21,2.3028,0.0824,2.3026,0.1
21,2.3028,0.0824,2.3026,0.1
22,2.3028,0.0824,2.3026,0.1
21,2.3029,0.0412,2.3026,0.1
21,2.3028,0.0706,2.3026,0.1
21,2.3028,0.0588,2.3026,0.1
21,2.3028,0.0882,2.3026,0.1
21,2.3027,0.0529,2.3026,0.1
21,2.3028,0.0882,2.3026,0.1
21,2.3028,0.0529,2.3026,0.1
21,2.3027,0.0882,2.3026,0.1
21,2.3027,0.0882,2.3026,0.1
21,2.3028,0.0471,2.3026,0.1
21,2.3028,0.0706,2.3026,0.1
21,2.3027,0.1,2.3026,0.1
21,2.3027,0.1,2.3026,0.1
22,2.3028,0.0882,2.3026,0.1
21,2.3028,0.0824,2.3026,0.1
21,2.3029,0.0647,2.3026,0.1
21,2.3028,0.0706,2.3026,0.1
22,2.3027,0.0941,2.3026,0.1
21,2.3027,0.0471,2.3026,0.1
21,2.3028,0.0471,2.3026,0.1
21,2.3029,0.0765,2.3026,0.1
21,2.3029,0.1,2.3026,0.1
21,2.3028,0.0824,2.3026,0.1
22,2.3028,0.0588,2.3026,0.1
21,2.3028,0.0647,2.3026,0.1
